Name,DisplayName,Body,Description,Strength,Dexterity,Constitution,Intelligence,Wisdom,Charisma,AdvantagePrimary,AdvantageSecondary,Mesh,AccentColor,bExtinct
Charger,"Charger",Stocky,"Chassi construído para impacto: placas espessas, servos de força e nenhuma delicadeza. Onde ele pisa, o chão cede antes dele.",2,0,1,0,0,0,"Investida Sísmica: derruba inimigos no trajeto e causa dano em área ao aterrissar.","+1 ataque contra alvo caído ou atordoado.",/Game/Characters/Mannequins/Meshes/SKM_Manny_Simple.SKM_Manny_Simple,"(R=0.850000,G=0.250000,B=0.150000,A=1.000000)",False
Vitaspark,"Vitaspark",Slender,"Chassi de velocidade extrema: quadris leves, dissipadores nas costas e a sensação permanente de que ele já foi embora.",-1,2,1,0,0,0,"Crítico Ampliado: crítico em 18-20 com as 6 cargas.","Carga Cinética: +3 de dano por carga, consumido no acerto (máx 6).",/Game/Characters/Mannequins/Meshes/SKM_Manny_Simple.SKM_Manny_Simple,"(R=1.000000,G=0.850000,B=0.100000,A=1.000000)",False
Aetheric,"Aetheric",Slender,"Estrutura esguia ligada a fontes de energia cósmica e quântica. Ele não manipula Éter — conversa com ele.",-1,1,0,0,0,2,"Restauração de Éter: 1d12 ao toque (si mesmo ou aliado adjacente), 2 usos por combate.","Condutor: +50% de regeneração de Éter.",/Game/Characters/Mannequins/Meshes/SKM_Manny_Simple.SKM_Manny_Simple,"(R=0.200000,G=0.900000,B=1.000000,A=1.000000)",False
Techno,"Techno",Slender,"Chassi de núcleo cerebral voltado à análise. Ele lê o mundo como dados — inclusive você.",-1,0,0,2,1,0,"Protocolo de Deflexão: a reação de esquiva dá +5 de CA até o fim da rodada. 3 usos, recarga no descanso longo.","Analisador de Estruturas: hackeia terminais, portas, drones e sistemas inimigos.",/Game/Characters/Mannequins/Meshes/SKM_Manny_Simple.SKM_Manny_Simple,"(R=0.150000,G=0.450000,B=1.000000,A=1.000000)",False
Droneframe,"Droneframe",Fragile,"Unidades pequenas e ágeis, feitas para espionagem. Difíceis de ver e fáceis de subestimar.",0,2,-1,0,1,0,"Drone de Apoio: +1d4 de dano nos seus ataques enquanto o drone estiver ativo.","Interceptação: 1x por rodada o drone executa a reação por você.",/Game/Characters/Mannequins/Meshes/SKM_Manny_Simple.SKM_Manny_Simple,"(R=0.200000,G=0.900000,B=0.700000,A=1.000000)",False
Forgekin,"Forgekin",Stocky,"Tanques vivos: braços hidráulicos, blindagem fundida e a calma de quem já aguentou coisa pior.",1,-1,2,0,0,0,"Armadura Forjada: reduz 3 de dano físico por acerto e dá +5 de HP no nível 1 (+1 por nível).","Blindagem Adaptativa: +2 de CA no nível 1, chegando a +5 no nível 20.",/Game/Characters/Mannequins/Meshes/SKM_Manny_Simple.SKM_Manny_Simple,"(R=0.850000,G=0.500000,B=0.150000,A=1.000000)",False
Ghostnet,"Ghostnet",Slender,"Corpo semi-óptico, feito de camuflagem e paciência. Se você o viu, ele deixou.",-1,2,0,0,1,0,"Camuflagem Ativa: invisível por 3 rodadas, ou até atacar ou sofrer dano. 1x por descanso longo.","Dreno de Núcleo: 3 usos, troca o dano do ataque por dano no Éter (1:1).",/Game/Characters/Mannequins/Meshes/SKM_Manny_Simple.SKM_Manny_Simple,"(R=0.600000,G=0.300000,B=0.900000,A=1.000000)",False
Vox,"Vox",Fragile,"Chassi de aparência e emoções humanas, especializado em influência. A voz dele é a arma.",0,0,-1,0,1,2,"Voz Nula: silencia e drena Éter em raio de 6 m. Duração 1d4 + mod CAR rodadas, 1x por combate.","Módulo Emocional: 1x por combate, por 2 turnos, suas habilidades e as de aliados no raio ganham +1d4.",/Game/Characters/Mannequins/Meshes/SKM_Manny_Simple.SKM_Manny_Simple,"(R=1.000000,G=0.300000,B=0.700000,A=1.000000)",False
Overcore,"Overcore",Unstable,"Núcleos sobrecarregados em um chassi instável. Ele é mais forte do que deveria — e sabe disso.",0,1,2,0,-1,0,"Superaquecimento: a 25% de vida, pulso em área de 12 m. Dano = min(1/4 do HP perdido, nível + mod CON).","+2 de dano com armas energéticas e ignora a desvantagem de distância.",/Game/Characters/Mannequins/Meshes/SKM_Manny_Simple.SKM_Manny_Simple,"(R=1.000000,G=0.150000,B=0.150000,A=1.000000)",False
Cryonix,"Cryonix",Stocky,"Núcleo criogênico, resistente ao superaquecimento. Tudo o que ele toca desacelera.",0,-1,2,1,0,0,"Lentidão Criogênica: até 3 inimigos fazem salvaguarda de INT (CD 8 + prof + mod INT); quem falha gasta o dobro do tempo em ações dirigidas a ele, por 3 rodadas.","Nevoeiro Criogênico: área que impõe desvantagem à visão inimiga por 2 rodadas.",/Game/Characters/Mannequins/Meshes/SKM_Manny_Simple.SKM_Manny_Simple,"(R=0.600000,G=0.850000,B=1.000000,A=1.000000)",False
Clyffen,"Clyffen",Unstable,"O 11º modelo — os melhores de todos, em simbiose direta com o Éter. Extintos no começo do Faden: as técnicas de resistência não funcionaram neles.",0,0,0,0,0,0,"EXTINTO — não desbloqueável. O que resta são Protocolos Clyffe (fragmentos emuláveis).","Se você ver um deles pela névoa, corra.",/Game/Characters/Mannequins/Meshes/SKM_Manny_Simple.SKM_Manny_Simple,"(R=1.000000,G=0.800000,B=0.200000,A=1.000000)",True
